run	auc	sampid	smts	smtsd
SRR1397673	6659994201	GTEX-111YS-0006-SM-5NQBE	Blood	Whole Blood
SRR1485997	7938708179	GTEX-1122O-0003-SM-5Q5DL	Blood	Cells - EBV-transformed lymphocytes
SRR1314916	5967742898	GTEX-1122O-0005-SM-5O99J	Blood	Whole Blood
SRR814515	10074141059	GTEX-OXRL-0726-SM-3NM9A	Esophagus	Esophagus - Muscularis
SRR807679	9778380316	GTEX-OXRN-1726-SM-3NM9B	Esophagus	Esophagus - Mucosa
SRR1087127	8079555197	GTEX-U8XE-1326-SM-4E3JK	Esophagus	Esophagus - Gastroesophageal Junction
SRR1473161	6933523542	GTEX-Y5V6-0226-SM-4V6G7	Lung	Lung
SRR1460025	8405057191	GTEX-Y8E4-0526-SM-4V6GC	Lung	Lung
SRR1421462	6290507008	GTEX-Y8LW-0326-SM-4VBQ9	Lung	Lung
