sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP017413,Transcriptome profiling of primary uveal  melanomas,SRS378242,,SRX208363,SRR628582
SRP017413,Transcriptome profiling of primary uveal  melanomas,SRS378360,,SRX208482,SRR628589
SRP017413,Transcriptome profiling of primary uveal  melanomas,SRS378244,,SRX208365,SRR628584
SRP017413,Transcriptome profiling of primary uveal  melanomas,SRS378357,,SRX208479,SRR628586
SRP017413,Transcriptome profiling of primary uveal  melanomas,SRS378359,,SRX208481,SRR628588
