sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP061372,Homo sapiens Transcriptome or Gene expression,SRS1008399,,SRX1114113,SRR2121861
SRP061372,Homo sapiens Transcriptome or Gene expression,SRS1008663,,SRX1114520,SRR2121862
SRP061372,Homo sapiens Transcriptome or Gene expression,SRS1008665,,SRX1114523,SRR2121863
SRP061372,Homo sapiens Transcriptome or Gene expression,SRS1008667,,SRX1114525,SRR2121886
SRP061372,Homo sapiens Transcriptome or Gene expression,SRS1008668,,SRX1114526,SRR2124116
SRP061372,Homo sapiens Transcriptome or Gene expression,SRS1008670,,SRX1114528,SRR2124118
